11,"(43.5, 20)"
12,"(35.75, 8.25)"
1,"(6.25, 23.5)"
2,"(22, 18.25)"
3,"(26.5, 23)"
4,"(19.5, 3.5)"
5,"(35.75, 30.5)"
6,"(15.25, 9.75)"
7,"(11.25, 26.25)"
8,"(28, 9.75)"
9,"(9.25, 5.75)"
10,"(19.25, 33.5)"
11,"(41.5, 18.75)"
12,"(35.75, 9.25)"
1,"(6.5, 23.5)"
2,"(26.25, 18.75)"
3,"(21.25, 23.25)"
4,"(19.5, 4.75)"
5,"(35.5, 28.5)"
6,"(16, 9.5)"
7,"(10.75, 26)"
8,"(26.25, 10)"
9,"(10.5, 11.5)"
10,"(19.5, 28)"
11,"(41.25, 19.5)"
12,"(36, 10.5)"
1,"(6.25, 23)"
2,"(20, 20.25)"
3,"(26.75, 23)"
4,"(19.25, 3)"
5,"(35.5, 31)"
6,"(14.5, 9.5)"
7,"(11, 27)"
8,"(29.75, 9.25)"
9,"(10, 5.5)"
10,"(20, 34)"
11,"(41, 18.75)"
12,"(36.25, 8.75)"
1,"(3.25, 24.75)"
2,"(22.5, 18.5)"
3,"(20.5, 22.25)"
4,"(19, 2)"
5,"(35.75, 32)"
6,"(14.25, 9.75)"
7,"(11, 26.5)"
8,"(30.5, 9.5)"
9,"(9.5, 9.5)"
10,"(20.5, 24.5)"
11,"(42.75, 19)"
12,"(36, 7.25)"
1,"(6.5, 23.5)"
